Index,Agency Abbreviation,Agency Name,QuestionID,Full Question Text,Tags
36,DOC,Department of Commerce,DOC 36,"What fundamental areas of research and standards, if targeted by NIST (National Institute of Standards and Technology) and its stakeholders, will further develop the foundation for trustworthy Artificial Intelligence?","Mission-Focused, Operationally-Focused"
37,DOC,Department of Commerce,DOC 37,What grant disbursement processing procedures could be streamlined to reduce bottlenecks and overall processing times?,"Operationally-Focused, PMA - Customer Experience & Service Delivery, Grant Programs & Administration"
38,DOC,Department of Commerce,DOC 38,"What incentives or policies will facilitate industry’s adoption of cybersecurity standards, guidelines, and best practices?","Mission-Focused, Cybersecurity"
39,DOC,Department of Commerce,DOC 39,What mechanisms are needed to improve collaboration and information sharing between the federal and private sector on cybersecurity issues?,"Mission-Focused, Operationally-Focused, Cybersecurity"
40,DOC,Department of Commerce,DOC 40,"What Minority Business Development Agency (MBDA) interventions most effectively increase minority business enterprises (MBEs) participation, innovation, and competitiveness in manufacturing? What interventions increase MBEs’ ability to participate, innovate, and compete in manufacturing?","Mission-Focused, Equity, Economic Development"
41,DOC,Department of Commerce,DOC 41,What mission support activities can be further streamlined to reduce the burden on mission delivery staff time? How can processes be leaned without compromising value-add requirements?,"Operationally-Focused, PMA - Customer Experience & Service Delivery, PMA - Business of Government"
42,DOC,Department of Commerce,DOC 42,"What new and sustained observations, data, and capabilities would be most beneficial to support emergency managers and generally protect the economy and save lives?","Mission-Focused, Operationally-Focused, Data Related"
43,DOC,Department of Commerce,DOC 43,"What new tools, strategies and techniques would most effectively improve communication of NOAA’s weather and climate forecasts to vulnerable populations?","Mission-Focused, Operationally-Focused, PMA - Customer Experience & Service Delivery, Equity, Climate Change"
44,DOC,Department of Commerce,DOC 44,What refinements and new statistics would support more equitable management of the economy?,"Mission-Focused, Operationally-Focused, Equity"
45,DOC,Department of Commerce,DOC 45,"What regional economic conditions influence women’s choices to seek and obtain patent protection? What approaches can improve the accuracy of attributing gender or other demographic identifiers needed to assess if underserved populations are participating Which best address the needs of underserved and hard-to-reach communities? What are the barriers to accessing these programs, and do they disproportionately affect traditionally unserved/underserved populations?","Mission-Focused, Equity, Economic Development"
46,DOC,Department of Commerce,DOC 46,What skills and training techniques are most effective in preparing the Commerce workforce for current and emerging data challenges?,"Operationally-Focused, PMA - Federal Workforce"
47,DOC,Department of Commerce,DOC 47,What system(s) can be established to quickly identify and correct process problems that cause service delays outside of standards?,"Operationally-Focused, PMA - Customer Experience & Service Delivery"
48,DOC,Department of Commerce,DOC 48,"What techniques will raise awareness of the New Blue Economy? Which new statistics, once developed, will most accurately measure and demonstrate the value of the New Blue Economy?","Mission-Focused, Climate Change, Economic Development"
49,DOC,Department of Commerce,DOC 49,"What types of Economic Development Administration (EDA) funded activities (including those funded by CARES and the American Rescue Plan) are associated with the strongest long-term economic advances, particularly for underserved communities and populations?","Mission-Focused, Equity, Economic Development"
50,DOC,Department of Commerce,DOC 50,"What types of partnerships or enhancements to service delivery would strengthen the impact of measurement science research and standards development on U.S. industry in the fields of AI, Quantum Science, Advanced Manufacturing, Engineering Biology, and advanced communications?","Mission-Focused, PMA - Customer Experience & Service Delivery, National Security"
51,DHS,Department of Homeland Security,DHS 51,"Do all subgroups of the target population participate in and perceive value and utility of national convenings as mechanisms of information exchange about security and risk resilience? What gaps and unmet needs, if any, exist?",Mission-Focused
52,DHS,Department of Homeland Security,DHS 52,"Does level of Independent Test Agent (ITA) support throughout the acquisition lifecycle correlate with the adequacy of an acquisition program’s test and evaluation outputs (operational effectiveness, suitability, and resilience)?",Operationally-Focused
53,DHS,Department of Homeland Security,DHS 53,"How accurate were DHS’s estimates of the benefits and costs in the regulatory impact analysis for the regulation, “Standards to Prevent, Detect, and Respond to Sexual Abuse and Assault in Confinement Facilities”?","Mission-Focused, Immigration"
54,DHS,Department of Homeland Security,DHS 54,"How are stakeholders using cyber, critical infrastructure (CI), and emergency communications (EC) products and services they receive from CISA (Cybersecurity and Infrastructure Security Agency)? To what extent do these products and services add value, such as increasing awareness and closing gaps in capabilities, plans, and policies? What factors prevent stakeholders from using cyber/CI/EC products they receive?","Mission-Focused, PMA - Customer Experience & Service Delivery, Infrastructure, Cybersecurity"
55,DHS,Department of Homeland Security,DHS 55,How do household income and other demographic characteristics influence the decision to purchase flood insurance?,"Mission-Focused, Equity, Disaster Response & Recovery"
56,DHS,Department of Homeland Security,DHS 56,How do individuals’ preparedness behaviors change over time?,"Mission-Focused, Disaster Response & Recovery"
57,DHS,Department of Homeland Security,DHS 57,To what extent can available data predict adjudications actions sufficiently to warrant automation of steps toward completion or to automate whole processes?,"Mission-Focused, Immigration, Data Related"
58,DHS,Department of Homeland Security,DHS 58,"To what extent has the all-hazards communications unit position-specific training and stakeholder communication unit program enhanced interoperability by (1) creating, maintaining, and deploying a qualified group of people to fulfill Communications Unit (COMU) roles in federal, state, local, tribal, and territorial (SLTT) partner organizations and (2) enhancing integrated, collaborative, communications planning?","Mission-Focused, Native American & Tribal Communities"
59,DHS,Department of Homeland Security,DHS 59,"To what extent is FEMA’s training and education enterprise providing equitable delivery of curricula to state, local, tribal, and territorial (SLTTs) constituents?","Mission-Focused, PMA - Customer Experience & Service Delivery, Equity, Native American & Tribal Communities, Disaster Response & Recovery"
60,DHS,Department of Homeland Security,DHS 60,What “push” and “pull” factors at the national and local levels predict increases/decreases in the numbers of noncitizens arriving at the Southwest Border?,"Mission-Focused, National Security, Immigration"
61,DHS,Department of Homeland Security,DHS 61,What are characteristics of people who online file compared to paper file for immigration benefits?,"Mission-Focused, Social Services, Immigration"
62,DHS,Department of Homeland Security,DHS 62,What are the characteristics of people who naturalize? What demographic variables among lawful permanent residents are correlated with the likelihood and timing of naturalization?,"Mission-Focused, Equity, Immigration, Data Related"
63,DHS,Department of Homeland Security,DHS 63,What are the estimated costs and benefits of DHS vehicle fleet electrification given specialized/law enforcement requirements?,"Operationally-Focused, Climate Change"
64,DHS,Department of Homeland Security,DHS 64,"What are the most significant sources of variation in transportation security sector (TSS) operators’ implementation of cyber security technology and processes? What do TSS operators report as enablers and barriers to implementation, and what gaps/unmet needs could TSA address?","Operationally-Focused, Infrastructure, Cybersecurity"
65,DHS,Department of Homeland Security,DHS 65,"What effect, if any, have changes in southern land border controls had on migrant encounters at sea?","Mission-Focused, Equity, Immigration"
66,DHS,Department of Homeland Security,DHS 66,What effects has adoption of a standard utilization rate (UR) of 150 sq. ft./person had on the Department’s real property footprint? What factors support and hinder implementation of the 150 sq. ft./person standard?,"Operationally-Focused, Future of Work"
67,DHS,Department of Homeland Security,DHS 67,What effects has the adoption of maximum telework flexibilities had on the DHS mission and support for the DHS mission? What subgroups of the DHS workforce benefit the most/least from telework flexibilities?,"Operationally-Focused, PMA - Federal Workforce, Future of Work"
68,DHS,Department of Homeland Security,DHS 68,"What factors, if any, help predict rates and lengths of nonimmigrant overstays?","Mission-Focused, Immigration"
69,DHS,Department of Homeland Security,DHS 69,"What indicators, data, methods, tools, and frameworks can FEMA use to build evidence and address disparities in achieving equitable outcomes across FEMA programs (e.g., direct federal assistance and grants) across the agency?","Mission-Focused, Equity, Grant Programs & Administration, Disaster Response & Recovery, Data Related"
70,DHS,Department of Homeland Security,DHS 70,"What indicators, measures, methods, and data can better support the evaluation of Homeland Security Grant Program (HGSP) effectiveness as it pertains to maintaining and improving state, local, tribal and territorial (SLTT) and national preparedness?","Operationally-Focused, Native American & Tribal Communities, Grant Programs & Administration, Disaster Response & Recovery, Data Related"
71,DHS,Department of Homeland Security,DHS 71,"What is the degree and source of variability in US Citizen and Immigration Services (USCIS) utilization and completion rates, across adjudicative staff, at USCIS field offices?","Mission-Focused, Immigration"
72,DHS,Department of Homeland Security,DHS 72,"What metrics/indicators can be used to reliably predict cost to maintain material readiness requirements for deployed systems in Custom and Border Protection (CBP)’s stated five Enduring Mission Priority Outcomes: Combating Transnational Organized Crime, Counter Terrorism, Facilitate Lawful Trade and Protect Revenue?","Operationally-Focused, Criminal Justice, National Security"
73,DHS,Department of Homeland Security,DHS 73,"What, if any, person and case characteristics predict higher likelihood of receiving specific immigration benefits?","Mission-Focused, Equity, Social Services, Immigration"
74,DHS,Department of Homeland Security,DHS 74,"What, if any, person and case characteristics predict higher likelihood of specific immigration enforcement outcomes and time between border encounter and final outcome?","Mission-Focused, Immigration"
75,DHS,Department of Homeland Security,DHS 75,"Where does the majority of federally managed fishing activity (both inside the U.S. Exclusive Economic Zone and nearby) occur, by season and species?","Mission-Focused, Natural Resources & Environment"
76,DHS,Department of Homeland Security,DHS 76,Which facilities should have Transportation Worker Identification Card (TWIC) readers to appropriately manage risk?,"Operationally-Focused, National Security, Infrastructure"
77,DHS,Department of Homeland Security,DHS 77,In what ways do service interventions funded through violence and domestic terrorism prevention grants contribute to DHS goals for reducing individuals radicalizing to targeted violence and terrorism?,"Mission-Focused, Criminal Justice, National Security, Grant Programs & Administration"
78,DHS,Department of Homeland Security,DHS 78,To what extent were COVID Public Assistance obligations align with areas of social vulnerability and high case rates in socially vulnerable areas?,"Mission-Focused, Equity, Pandemic Response"
79,DOE,Department of Energy,DOE 79,"What factors most influence the Department’s ability to obligate appropriated budget 
authority in the current fiscal year and “carry-over” unused funds to the next fiscal year?","Operationally-Focused, PMA - Business of Government"
80,DOE,Department of Energy,DOE 80,What factors most influence the Department and National Nuclear Security Administration (NNSA)’s ability to manage procurement systems and provide procurement policy & oversight for DOE Procurement Offices?,Operationally-Focused
81,DOE,Department of Energy,DOE 81,What factors most influence the Department’s ability to improve the Energy Information Administration’s statistical methodologies and data quality?,"Operationally-Focused, Data Related"
82,DOE,Department of Energy,DOE 82,What factors most influence the Department’s ability support conversion of OCFO managed IT systems to cloud-based solutions by FY 2021?,Operationally-Focused
83,DOI,Department of the Interior,DOI 83,"Are USG's water mission area projects successfully addressing National Academics of Sciences' recommendations, meeting technical requirements, and achieving priority goals laid out in the program roadmaps?","Mission-Focused, Natural Resources & Environment"
84,DOI,Department of the Interior,DOI 84,How can DOI remove barriers to participation and ensure equitable access to the Department’s grant and contracting opportunities for historically underrepresented populations?,"Mission-Focused, PMA - Business of Government, Equity, Grant Programs & Administration"
85,DOI,Department of the Interior,DOI 85,How can DOI identify and document an increase in carbon sequestration in net carbon budgets with a majority of projects or decisions (pairing development projects with conservation)?,"Mission-Focused, Climate Change, Natural Resources & Environment"
86,DOI,Department of the Interior,DOI 86,How can DOI improve data integrity and its electronic Abandoned Mine Land Inventory System to ensure the information on current and future coal AML problems is reliable and consistent?,"Operationally-Focused, Natural Resources & Environment, Data Related"
87,DOI,Department of the Interior,DOI 87,"How can DOI improve the public benefit of the Department’s data, science, and information resources, especially among vulnerable communities?","Mission-Focused, Equity, Data Related"
88,DOI,Department of the Interior,DOI 88,How effective are DOI's identified High Impact Service Provider Programs at improving customer experience?,"Operationally-Focused, PMA - Customer Experience & Service Delivery"
89,DOI,Department of the Interior,DOI 89,How effective are DOI's processes for reviewing and approving feasibility studies for water reclamation and reuse projects?,"Operationally-Focused, Natural Resources & Environment"
90,DOI,Department of the Interior,DOI 90,"To what extent are vulnerability assessment frameworks from the DOI Climate Action Plan being used across DOI? To what extent are they successful at capturing vulnerabilities and risks of climate change, and in projecting vulnerability and risk into the future?","Mission-Focused, Operationally-Focused, Climate Change"
91,DOI,Department of the Interior,DOI 91,How effectively is the Bureau of Indian Education (BIE) data being used to support improving student achievement? What organizational processes and data most affect education service delivery? What processes and data are being used for decisions impacting education service delivery and what are the outcomes?,"Mission-Focused, Equity, Education, Native American & Tribal Communities, Data Related"
92,DOI,Department of the Interior,DOI 92,"How can DOI achieve better data and science equity, and increase the use of evidence and data in DOI decision making?","Operationally-Focused, Equity, Data Related"
93,DOI,Department of the Interior,DOI 93,"How can DOI develop awareness and increase capacity to augment the percentage of National Environmental Policy Act (NEPA) decision documents that incorporate merits, drawbacks, analysis of impacts, and mitigation measures of DOI actions to people, such as through socioeconomic and environmental justice analyses?","Mission-Focused, Equity, Environmental Justice, Natural Resources & Environment"
94,DOI,Department of the Interior,DOI 94,To what extent are non-energy mineral resources appropriately sourced from public lands in order to maintain balanced use if other domestic sources are not adequate? To what extent is sufficient economic data available on an appropriate level of domestic production on public land by commodity/mineral?,"Mission-Focused, Natural Resources & Environment, Data Related"
95,DOI,Department of the Interior,DOI 95,To what extent are personnel and methodologies effective in assessing whether invasive plant and animals are under control on DOI managed lands and waters?,"Mission-Focused, Operationally-Focused, Natural Resources & Environment"
96,DOI,Department of the Interior,DOI 96,To what extent are the Department’s recruitment and hiring practices adequate to attract and retain a diverse and highly skilled workforce?,"Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
97,DOI,Department of the Interior,DOI 97,"To what extent are the pilot interactive Beneficiary Kiosks effective at providing service to a variety of beneficiaries? To what extent does the design of the pilot Interactive Beneficiary Kiosk allow for beneficiaries of various ages, geographic locations, and other attributes to access information about their trust accounts more easily?","Mission-Focused, PMA - Customer Experience & Service Delivery, Equity"
98,DOI,Department of the Interior,DOI 98,What are the critical processes to establish in order to effectively build DOI's offshore wind energy capabilities?,"Mission-Focused, Operationally-Focused, Climate Change, Energy, Natural Resources & Environment"
99,DOI,Department of the Interior,DOI 99,What are the most effective strategies to increase native seed availability for restoring public lands to combat climate change and repair landscapes after wildfires?,"Mission-Focused, Climate Change, Natural Resources & Environment, Disaster Response & Recovery"
100,DOI,Department of the Interior,DOI 100,"What are the primary challenges to retaining a diverse, highly skilled workforce capable of delivering the Department’s mission?","Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
101,DOI,Department of the Interior,DOI 101,"What is an effective approach to build corporate-level dataset monitoring and diagnostic resources and data science tools that could improve hydropower power program efficiency and effectiveness to allow DOI to better assess and refine asset management strategies and implementation? What is an effective way to share and aggregate high-resolution datasets for the hydropower program in a secure, timely manner?","Operationally-Focused, Climate Change, Energy, Data Related"
102,DOI,Department of the Interior,DOI 102,"What is the best approach to leveraging IT systems, including the Recreation And Permit Tracking anOnline Reporting (RAPTOR) system, the Potential Fossil Yield Classification (PFYC) system, the National Cultural Resource Information Management System (NCRIMS), and the Interior Collections Management System (ICMS), to ensure heritage resources are managed for long-term resilience and stability?","Mission-Focused, Operationally-Focused, Natural Resources & Environment"
103,DOI,Department of the Interior,DOI 103,"What is the impact and effectiveness of US Fish and Wildlife Service's foreign assistance on species conservation abroad, specifically for its return on investment and conservation effectiveness?","Mission-Focused, Natural Resources & Environment"
104,DOI,Department of the Interior,DOI 104,"What maintenance is required and with what frequency, to ensure that passive treatment systems constructed to address water pollution discharges from abandoned mine lands continue to be effective?","Mission-Focused, Natural Resources & Environment"
105,DOI,Department of the Interior,DOI 105,What challenges are Tribes facing in their ability to reclaim remaining abandoned mine lands?,"Mission-Focused, PMA - Customer Experience & Service Delivery, Native American & Tribal Communities, Natural Resources & Environment"
106,DOI,Department of the Interior,DOI 106,"How effective is DOI in upholding its responsibilities of the trust and treaty relationships with Tribes and the Federal Government? What specific improvements need to be made in coordination among federal agencies, improving notice to Tribes, and ensuring consistency and accountability in achieving meaningful consultations?","Mission-Focused, Equity, Native American & Tribal Communities"
107,DOI,Department of the Interior,DOI 107,How effective is DOI  supporting Tribes to be successful in self-determination or self-governance? What are the factors of successful self-determination or self-governance that DOI can support?,"Mission-Focused, Equity, Native American & Tribal Communities"
108,DOI,Department of the Interior,DOI 108,How can DOI better support Tribes to establish and use Indian Forest Land Assistance Accounts (FL) funds to develop and enhance natural resource programs?,"Mission-Focused, Equity, Native American & Tribal Communities, Natural Resources & Environment"
109,DOI,Department of the Interior,DOI 109,"How can DOI better define and improve the selection of metrics and indicators to monitor the effectiveness of specific, nature-based solution (NbS) strategies? What is the specific applicability of NbS (e.g., what, when and where to deploy NbS), design standards (e.g., engineering, hydraulic, economic cost-benefit considerations), and duration of project effectiveness (i.e., compared to a hardened structure)? What is the overall effectiveness of NbS to alleviate climate impacts? What are the ecological, economic, engineering, and social costs and benefits of NbS strategies?","Mission-Focused, Operationally-Focused, Climate Change, Natural Resources & Environment"
110,DOI,Department of the Interior,DOI 110,"How should DOI conduct a review of the condition of fish and wildlife habitats and populations, as called for by the America the Beautiful campaign, to meaningfully measure the conservation impact of that campaign and other collaborative conservation efforts of the US Fish and Wildlife Service?","Mission-Focused, Natural Resources & Environment"
111,DOI,Department of the Interior,DOI 111,"What are the environmental impacts associated with the construction and initial operations of the first tranche of offshore windfarms in federal waters, and what mitigation strategies can be undertaken to allow for long term sustainability and mutual co-existence of offshore wind with commercial and recreational fisheries?","Mission-Focused, Natural Resources & Environment"
112,DOI,Department of the Interior,DOI 112,How can DOI strengthen public trust and confidence in Interior’s public safety programs?,"Mission-Focused, Operationally-Focused"
113,DOI,Department of the Interior,DOI 113,How can the Department increase stakeholder engagement to improve environmental justice outcomes for infrastructure investments?,"Mission-Focused, Operationally-Focused, Equity, Climate Change, Environmental Justice, Infrastructure"
114,DOI,Department of the Interior,DOI 114,"How effective are DOI surveys to get feedback on the usefulness of available materials and tools, particularly in light of limited broadband connectivity of some Tribes?","Operationally-Focused, Equity, Native American & Tribal Communities, Data Related"
115,DOI,Department of the Interior,DOI 115,How well does DOI collect and document traditional knowledge that informs decisions?,"Mission-Focused, Operationally-Focused, Native American & Tribal Communities"
116,DOI,Department of the Interior,DOI 116,To what extent are various restoration techniques effective at restoring habitat in the long-term?,"Mission-Focused, Natural Resources & Environment"
117,DOJ,Department of Justice,DOJ 117,What are the most effective ways for the Department to increase private sector reporting of cyber incidents and threat information?,"Mission-Focused, National Security, Cybersecurity"
118,DOJ,Department of Justice,DOJ 118,Are recently hired employees satisfied with their hiring and onboarding experience? Are there disparities across demographic groups and components?,"Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
119,DOJ,Department of Justice,DOJ 119,What are the most critical elements of management training and development to ensure successful leadership?,"Operationally-Focused, PMA - Federal Workforce"
120,DOJ,Department of Justice,DOJ 120,"What are the most effective strategies for identifying, countering, and building resistance to online and offline forms of misinformation, disinformation, and malinformation that contribute to extremist beliefs and terrorist activity?","Mission-Focused, National Security"
121,DOJ,Department of Justice,DOJ 121,"How can the Department best address inconsistent terrorism incident reporting across national, state, and local authorities?","Mission-Focused, National Security"
122,DOJ,Department of Justice,DOJ 122,How can the Department most effectively increase the reporting of hate crimes?,"Mission-Focused, Equity, Criminal Justice"
123,DOJ,Department of Justice,DOJ 123,"How can the Department most effectively recruit, train, and retain cyber-skilled staff to meet the evolving cyber threat?","Operationally-Focused, PMA - Federal Workforce, Cybersecurity"
124,DOJ,Department of Justice,DOJ 124,"How is a growing domestic and international cryptocurrency market impacting bankruptcy proceedings now, and how will it do so in the future?",Mission-Focused
125,DOJ,Department of Justice,DOJ 125,How much economic activity in key sectors of interest is protected by the Department’s national security reviews?,"Mission-Focused, National Security"
126,DOJ,Department of Justice,DOJ 126,"In the wake of the COVID-19 pandemic, what is the impact of telework on productivity, diversity, recruitment, and retention?","Operationally-Focused, PMA - Federal Workforce, Equity, DEIA, Future of Work"
127,DOJ,Department of Justice,DOJ 127,"What are the drivers of recent increases in violent crime, and which are likely to persist as our nation emerges from the COVID-19 pandemic?","Mission-Focused, Pandemic Response, Criminal Justice"
128,DOJ,Department of Justice,DOJ 128,"What notification, messaging, and outreach strategies are most effective in hardening cyber defenses across private sector and government?","Mission-Focused, National Security, Cybersecurity"
129,DOJ,Department of Justice,DOJ 129,"What threats against, and vulnerabilities within, the Department’s own cybersecurity exist, and how can the Department quickly and most effectively address those issues?","Mission-Focused, Cybersecurity"
130,DOJ,Department of Justice,DOJ 130,"What would be the impacts, benefits, and costs of combining the Department’s multiple datasets related to identifying public corruption?","Operationally-Focused, Criminal Justice, Data Related"
131,DOJ,Department of Justice,DOJ 131,Where are there gaps in the demographics of the Department’s workforce that do not reflect the civilian labor force? What barriers to hiring and retention might contribute to these gaps?,"Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
132,DOJ,Department of Justice,DOJ 132,"How are large organizations, both within and outside of the executive branch, structured to promote innovation, and how can the Department most effectively adopt or adapt these structures?",Operationally-Focused
133,DOJ,Department of Justice,DOJ 133,How can civil enforcement tools be used for the greatest force-multiplying impact on opioid enforcement?,"Mission-Focused, Criminal Justice"
134,DOJ,Department of Justice,DOJ 134,What characteristics of grantees are predictive of success in effectively implementing community-based interventions to reduce violent crime?,"Mission-Focused, Criminal Justice, Grant Programs & Administration"
135,DOJ,Department of Justice,DOJ 135,"What effect does the Department’s grant funding have on states, localities, and other recipients in spurring criminal justice innovation and evidence-based reforms??How are the Department’s grant programs influencing community investment in innovation and evidence-based reforms?","Mission-Focused, Criminal Justice, Grant Programs & Administration"
136,DOJ,Department of Justice,DOJ 136,"What impact has new Department guidance for federal law enforcement components — specifically on chokeholds, no-knock warrants, and body-worn cameras — had on accountability, transparency, and public confidence in the federal criminal justice system?","Mission-Focused, Criminal Justice"
137,DOJ,Department of Justice,DOJ 137,"What individuals are not currently receiving legal assistance/orientation services and referrals for representation, and why? How can the Department most effectively assess and address any access or equity barriers identified?","Mission-Focused, Equity, Criminal Justice"
138,DOJ,Department of Justice,DOJ 138,What technical innovations in courtroom proceedings more broadly can be adapted into the immigration context?,"Mission-Focused, Immigration"
139,DOJ,Department of Justice,DOJ 139,"What is the effect of the Department’s election monitoring program, and how can the program’s effectiveness be enhanced?",Mission-Focused
140,DOJ,Department of Justice,DOJ 140,What is the long-term impact of First Step Act programs on formerly incarcerated individuals returning to the community?,"Mission-Focused, Criminal Justice"
